"","x"
"82","lh.aparc.a2009s.stats.377.MeanCurv.G_and_S_cingul-Mid-Post"
"83","lh.aparc.a2009s.stats.378.MeanCurv.G_cingul-Post-dorsal"
"84","lh.aparc.a2009s.stats.379.MeanCurv.G_cingul-Post-ventral"
"85","lh.aparc.a2009s.stats.380.MeanCurv.G_cuneus"
"86","lh.aparc.a2009s.stats.381.MeanCurv.G_front_inf-Opercular"
"87","lh.aparc.a2009s.stats.382.MeanCurv.G_front_inf-Orbital"
"88","lh.aparc.a2009s.stats.383.MeanCurv.G_front_inf-Triangul"
"89","lh.aparc.a2009s.stats.384.MeanCurv.G_front_middle"
"90","lh.aparc.a2009s.stats.385.MeanCurv.G_front_sup"
"91","lh.aparc.a2009s.stats.386.MeanCurv.G_Ins_lg_and_S_cent_ins"
"92","lh.aparc.a2009s.stats.387.MeanCurv.G_insular_short"
"93","lh.aparc.a2009s.stats.388.MeanCurv.G_occipital_middle"
"94","lh.aparc.a2009s.stats.389.MeanCurv.G_occipital_sup"
"95","lh.aparc.a2009s.stats.390.MeanCurv.G_oc-temp_lat-fusifor"
"96","lh.aparc.a2009s.stats.391.MeanCurv.G_oc-temp_med-Lingual"
"97","lh.aparc.a2009s.stats.392.MeanCurv.G_oc-temp_med-Parahip"
"98","lh.aparc.a2009s.stats.393.MeanCurv.G_orbital"
"99","lh.aparc.a2009s.stats.394.MeanCurv.G_pariet_inf-Angular"
"100","lh.aparc.a2009s.stats.395.MeanCurv.G_pariet_inf-Supramar"
"101","lh.aparc.a2009s.stats.396.MeanCurv.G_parietal_sup"
"102","lh.aparc.a2009s.stats.397.MeanCurv.G_postcentral"
"103","lh.aparc.a2009s.stats.398.MeanCurv.G_precentral"
"104","lh.aparc.a2009s.stats.399.MeanCurv.G_precuneus"
"105","lh.aparc.a2009s.stats.400.MeanCurv.G_rectus"
"106","lh.aparc.a2009s.stats.401.MeanCurv.G_subcallosal"
"107","lh.aparc.a2009s.stats.402.MeanCurv.G_temp_sup-G_T_transv"
"108","lh.aparc.a2009s.stats.403.MeanCurv.G_temp_sup-Lateral"
"109","lh.aparc.a2009s.stats.404.MeanCurv.G_temp_sup-Plan_polar"
"110","lh.aparc.a2009s.stats.405.MeanCurv.G_temp_sup-Plan_tempo"
"111","lh.aparc.a2009s.stats.406.MeanCurv.G_temporal_inf"
"112","lh.aparc.a2009s.stats.407.MeanCurv.G_temporal_middle"
"113","lh.aparc.a2009s.stats.408.MeanCurv.Lat_Fis-ant-Horizont"
"114","lh.aparc.a2009s.stats.409.MeanCurv.Lat_Fis-ant-Vertical"
"115","lh.aparc.a2009s.stats.410.MeanCurv.Lat_Fis-post"
"116","lh.aparc.a2009s.stats.411.MeanCurv.Pole_occipital"
"117","lh.aparc.a2009s.stats.412.MeanCurv.Pole_temporal"
"118","lh.aparc.a2009s.stats.413.MeanCurv.S_calcarine"
"119","lh.aparc.a2009s.stats.414.MeanCurv.S_central"
"120","lh.aparc.a2009s.stats.415.MeanCurv.S_cingul-Marginalis"
"121","lh.aparc.a2009s.stats.416.MeanCurv.S_circular_insula_ant"
"122","lh.aparc.a2009s.stats.417.MeanCurv.S_circular_insula_inf"
"123","lh.aparc.a2009s.stats.418.MeanCurv.S_circular_insula_sup"
"124","lh.aparc.a2009s.stats.419.MeanCurv.S_collat_transv_ant"
"125","lh.aparc.a2009s.stats.420.MeanCurv.S_collat_transv_post"
"126","lh.aparc.a2009s.stats.421.MeanCurv.S_front_inf"
"127","lh.aparc.a2009s.stats.422.MeanCurv.S_front_middle"
"128","lh.aparc.a2009s.stats.423.MeanCurv.S_front_sup"
"129","lh.aparc.a2009s.stats.424.MeanCurv.S_interm_prim-Jensen"
"130","lh.aparc.a2009s.stats.425.MeanCurv.S_intrapariet_and_P_trans"
"131","lh.aparc.a2009s.stats.426.MeanCurv.S_oc_middle_and_Lunatus"
"132","lh.aparc.a2009s.stats.427.MeanCurv.S_oc_sup_and_transversal"
"133","lh.aparc.a2009s.stats.428.MeanCurv.S_occipital_ant"
"134","lh.aparc.a2009s.stats.429.MeanCurv.S_oc-temp_lat"
"135","lh.aparc.a2009s.stats.430.MeanCurv.S_oc-temp_med_and_Lingual"
"136","lh.aparc.a2009s.stats.431.MeanCurv.S_orbital_lateral"
"137","lh.aparc.a2009s.stats.432.MeanCurv.S_orbital_med-olfact"
"138","lh.aparc.a2009s.stats.433.MeanCurv.S_orbital-H_Shaped"
