"","x"
"361","rh.aparc.a2009s.stats.434.MeanCurv.S_parieto_occipital"
"362","rh.aparc.a2009s.stats.435.MeanCurv.S_pericallosal"
"363","rh.aparc.a2009s.stats.436.MeanCurv.S_postcentral"
"364","rh.aparc.a2009s.stats.437.MeanCurv.S_precentral-inf-part"
"365","rh.aparc.a2009s.stats.438.MeanCurv.S_precentral-sup-part"
"366","rh.aparc.a2009s.stats.439.MeanCurv.S_suborbital"
"367","rh.aparc.a2009s.stats.440.MeanCurv.S_subparietal"
"368","rh.aparc.a2009s.stats.441.MeanCurv.S_temporal_inf"
"369","rh.aparc.a2009s.stats.442.MeanCurv.S_temporal_sup"
"370","rh.aparc.a2009s.stats.443.MeanCurv.S_temporal_transverse"
"371","rh.aparc.a2009s.stats.444.GausCurv.G_and_S_frontomargin"
"372","rh.aparc.a2009s.stats.445.GausCurv.G_and_S_occipital_inf"
"373","rh.aparc.a2009s.stats.446.GausCurv.G_and_S_paracentral"
"374","rh.aparc.a2009s.stats.447.GausCurv.G_and_S_subcentral"
"375","rh.aparc.a2009s.stats.448.GausCurv.G_and_S_transv_frontopol"
"376","rh.aparc.a2009s.stats.449.GausCurv.G_and_S_cingul-Ant"
"377","rh.aparc.a2009s.stats.450.GausCurv.G_and_S_cingul-Mid-Ant"
"378","rh.aparc.a2009s.stats.451.GausCurv.G_and_S_cingul-Mid-Post"
"379","rh.aparc.a2009s.stats.452.GausCurv.G_cingul-Post-dorsal"
"380","rh.aparc.a2009s.stats.453.GausCurv.G_cingul-Post-ventral"
"381","rh.aparc.a2009s.stats.454.GausCurv.G_cuneus"
"382","rh.aparc.a2009s.stats.455.GausCurv.G_front_inf-Opercular"
"383","rh.aparc.a2009s.stats.456.GausCurv.G_front_inf-Orbital"
"384","rh.aparc.a2009s.stats.457.GausCurv.G_front_inf-Triangul"
"385","rh.aparc.a2009s.stats.458.GausCurv.G_front_middle"
"386","rh.aparc.a2009s.stats.459.GausCurv.G_front_sup"
"387","rh.aparc.a2009s.stats.460.GausCurv.G_Ins_lg_and_S_cent_ins"
"388","rh.aparc.a2009s.stats.461.GausCurv.G_insular_short"
"389","rh.aparc.a2009s.stats.462.GausCurv.G_occipital_middle"
"390","rh.aparc.a2009s.stats.463.GausCurv.G_occipital_sup"
"391","rh.aparc.a2009s.stats.464.GausCurv.G_oc-temp_lat-fusifor"
"392","rh.aparc.a2009s.stats.465.GausCurv.G_oc-temp_med-Lingual"
"393","rh.aparc.a2009s.stats.466.GausCurv.G_oc-temp_med-Parahip"
"394","rh.aparc.a2009s.stats.467.GausCurv.G_orbital"
"395","rh.aparc.a2009s.stats.468.GausCurv.G_pariet_inf-Angular"
"396","rh.aparc.a2009s.stats.469.GausCurv.G_pariet_inf-Supramar"
"397","rh.aparc.a2009s.stats.470.GausCurv.G_parietal_sup"
"398","rh.aparc.a2009s.stats.471.GausCurv.G_postcentral"
"399","rh.aparc.a2009s.stats.472.GausCurv.G_precentral"
"400","rh.aparc.a2009s.stats.473.GausCurv.G_precuneus"
"401","rh.aparc.a2009s.stats.474.GausCurv.G_rectus"
"402","rh.aparc.a2009s.stats.475.GausCurv.G_subcallosal"
"403","rh.aparc.a2009s.stats.476.GausCurv.G_temp_sup-G_T_transv"
"404","rh.aparc.a2009s.stats.477.GausCurv.G_temp_sup-Lateral"
"405","rh.aparc.a2009s.stats.478.GausCurv.G_temp_sup-Plan_polar"
"406","rh.aparc.a2009s.stats.479.GausCurv.G_temp_sup-Plan_tempo"
"407","rh.aparc.a2009s.stats.480.GausCurv.G_temporal_inf"
"408","rh.aparc.a2009s.stats.481.GausCurv.G_temporal_middle"
"409","rh.aparc.a2009s.stats.482.GausCurv.Lat_Fis-ant-Horizont"
"410","rh.aparc.a2009s.stats.483.GausCurv.Lat_Fis-ant-Vertical"
"411","rh.aparc.a2009s.stats.484.GausCurv.Lat_Fis-post"
"412","rh.aparc.a2009s.stats.485.GausCurv.Pole_occipital"
"413","rh.aparc.a2009s.stats.486.GausCurv.Pole_temporal"
"414","rh.aparc.a2009s.stats.487.GausCurv.S_calcarine"
"415","rh.aparc.a2009s.stats.488.GausCurv.S_central"
"416","rh.aparc.a2009s.stats.489.GausCurv.S_cingul-Marginalis"
"417","rh.aparc.a2009s.stats.490.GausCurv.S_circular_insula_ant"
"418","rh.aparc.a2009s.stats.491.GausCurv.S_circular_insula_inf"
"419","rh.aparc.a2009s.stats.492.GausCurv.S_circular_insula_sup"
"420","rh.aparc.a2009s.stats.493.GausCurv.S_collat_transv_ant"
"421","rh.aparc.a2009s.stats.494.GausCurv.S_collat_transv_post"
"422","rh.aparc.a2009s.stats.495.GausCurv.S_front_inf"
"423","rh.aparc.a2009s.stats.496.GausCurv.S_front_middle"
"424","rh.aparc.a2009s.stats.497.GausCurv.S_front_sup"
"425","rh.aparc.a2009s.stats.498.GausCurv.S_interm_prim-Jensen"
"426","rh.aparc.a2009s.stats.499.GausCurv.S_intrapariet_and_P_trans"
"427","rh.aparc.a2009s.stats.500.GausCurv.S_oc_middle_and_Lunatus"
"428","rh.aparc.a2009s.stats.501.GausCurv.S_oc_sup_and_transversal"
"429","rh.aparc.a2009s.stats.502.GausCurv.S_occipital_ant"
"430","rh.aparc.a2009s.stats.503.GausCurv.S_oc-temp_lat"
"431","rh.aparc.a2009s.stats.504.GausCurv.S_oc-temp_med_and_Lingual"
"432","rh.aparc.a2009s.stats.505.GausCurv.S_orbital_lateral"
"433","rh.aparc.a2009s.stats.506.GausCurv.S_orbital_med-olfact"
"434","rh.aparc.a2009s.stats.507.GausCurv.S_orbital-H_Shaped"
"435","rh.aparc.a2009s.stats.508.GausCurv.S_parieto_occipital"
"436","rh.aparc.a2009s.stats.509.GausCurv.S_pericallosal"
"437","rh.aparc.a2009s.stats.510.GausCurv.S_postcentral"
"438","rh.aparc.a2009s.stats.511.GausCurv.S_precentral-inf-part"
"439","rh.aparc.a2009s.stats.512.GausCurv.S_precentral-sup-part"
"440","rh.aparc.a2009s.stats.513.GausCurv.S_suborbital"
"441","rh.aparc.a2009s.stats.514.GausCurv.S_subparietal"
"442","rh.aparc.a2009s.stats.515.GausCurv.S_temporal_inf"
"443","rh.aparc.a2009s.stats.516.GausCurv.S_temporal_sup"
"444","rh.aparc.a2009s.stats.517.GausCurv.S_temporal_transverse"
"445","wmparc.stats.210.Volume_mm3.wm-lh-bankssts"
"446","wmparc.stats.211.Volume_mm3.wm-lh-caudalanteriorcingulate"
"447","wmparc.stats.212.Volume_mm3.wm-lh-caudalmiddlefrontal"
"448","wmparc.stats.213.Volume_mm3.wm-lh-cuneus"
"449","wmparc.stats.214.Volume_mm3.wm-lh-entorhinal"
"450","wmparc.stats.215.Volume_mm3.wm-lh-fusiform"
"451","wmparc.stats.216.Volume_mm3.wm-lh-inferiorparietal"
"452","wmparc.stats.217.Volume_mm3.wm-lh-inferiortemporal"
"453","wmparc.stats.218.Volume_mm3.wm-lh-isthmuscingulate"
"454","wmparc.stats.219.Volume_mm3.wm-lh-lateraloccipital"
"455","wmparc.stats.220.Volume_mm3.wm-lh-lateralorbitofrontal"
"456","wmparc.stats.221.Volume_mm3.wm-lh-lingual"
"457","wmparc.stats.222.Volume_mm3.wm-lh-medialorbitofrontal"
"458","wmparc.stats.223.Volume_mm3.wm-lh-middletemporal"
"459","wmparc.stats.224.Volume_mm3.wm-lh-parahippocampal"
"460","wmparc.stats.225.Volume_mm3.wm-lh-paracentral"
"461","wmparc.stats.226.Volume_mm3.wm-lh-parsopercularis"
"462","wmparc.stats.227.Volume_mm3.wm-lh-parsorbitalis"
"463","wmparc.stats.228.Volume_mm3.wm-lh-parstriangularis"
"464","wmparc.stats.229.Volume_mm3.wm-lh-pericalcarine"
"465","wmparc.stats.230.Volume_mm3.wm-lh-postcentral"
"466","wmparc.stats.231.Volume_mm3.wm-lh-posteriorcingulate"
"467","wmparc.stats.232.Volume_mm3.wm-lh-precentral"
"468","wmparc.stats.233.Volume_mm3.wm-lh-precuneus"
"469","wmparc.stats.234.Volume_mm3.wm-lh-rostralanteriorcingulate"
"470","wmparc.stats.235.Volume_mm3.wm-lh-rostralmiddlefrontal"
"471","wmparc.stats.236.Volume_mm3.wm-lh-superiorfrontal"
"472","wmparc.stats.237.Volume_mm3.wm-lh-superiorparietal"
"473","wmparc.stats.238.Volume_mm3.wm-lh-superiortemporal"
"474","wmparc.stats.239.Volume_mm3.wm-lh-supramarginal"
"475","wmparc.stats.240.Volume_mm3.wm-lh-frontalpole"
"476","wmparc.stats.241.Volume_mm3.wm-lh-temporalpole"
"477","wmparc.stats.242.Volume_mm3.wm-lh-transversetemporal"
"478","wmparc.stats.243.Volume_mm3.wm-lh-insula"
"479","wmparc.stats.244.Volume_mm3.wm-rh-bankssts"
"480","wmparc.stats.245.Volume_mm3.wm-rh-caudalanteriorcingulate"
"481","wmparc.stats.246.Volume_mm3.wm-rh-caudalmiddlefrontal"
"482","wmparc.stats.247.Volume_mm3.wm-rh-cuneus"
"483","wmparc.stats.248.Volume_mm3.wm-rh-entorhinal"
"484","wmparc.stats.249.Volume_mm3.wm-rh-fusiform"
"485","wmparc.stats.250.Volume_mm3.wm-rh-inferiorparietal"
"486","wmparc.stats.251.Volume_mm3.wm-rh-inferiortemporal"
"487","wmparc.stats.252.Volume_mm3.wm-rh-isthmuscingulate"
"488","wmparc.stats.253.Volume_mm3.wm-rh-lateraloccipital"
"489","wmparc.stats.254.Volume_mm3.wm-rh-lateralorbitofrontal"
"490","wmparc.stats.255.Volume_mm3.wm-rh-lingual"
"491","wmparc.stats.256.Volume_mm3.wm-rh-medialorbitofrontal"
"492","wmparc.stats.257.Volume_mm3.wm-rh-middletemporal"
"493","wmparc.stats.258.Volume_mm3.wm-rh-parahippocampal"
"494","wmparc.stats.259.Volume_mm3.wm-rh-paracentral"
"495","wmparc.stats.260.Volume_mm3.wm-rh-parsopercularis"
"496","wmparc.stats.261.Volume_mm3.wm-rh-parsorbitalis"
"497","wmparc.stats.262.Volume_mm3.wm-rh-parstriangularis"
"498","wmparc.stats.263.Volume_mm3.wm-rh-pericalcarine"
"499","wmparc.stats.264.Volume_mm3.wm-rh-postcentral"
"500","wmparc.stats.265.Volume_mm3.wm-rh-posteriorcingulate"
"501","wmparc.stats.266.Volume_mm3.wm-rh-precentral"
"502","wmparc.stats.267.Volume_mm3.wm-rh-precuneus"
"503","wmparc.stats.268.Volume_mm3.wm-rh-rostralanteriorcingulate"
"504","wmparc.stats.269.Volume_mm3.wm-rh-rostralmiddlefrontal"
"505","wmparc.stats.270.Volume_mm3.wm-rh-superiorfrontal"
"506","wmparc.stats.271.Volume_mm3.wm-rh-superiorparietal"
"507","wmparc.stats.272.Volume_mm3.wm-rh-superiortemporal"
"508","wmparc.stats.273.Volume_mm3.wm-rh-supramarginal"
"509","wmparc.stats.274.Volume_mm3.wm-rh-frontalpole"
"510","wmparc.stats.275.Volume_mm3.wm-rh-temporalpole"
"511","wmparc.stats.276.Volume_mm3.wm-rh-transversetemporal"
"512","wmparc.stats.277.Volume_mm3.wm-rh-insula"
"513","wmparc.stats.278.Volume_mm3.Left-UnsegmentedWhiteMatter"
"514","wmparc.stats.279.Volume_mm3.Right-UnsegmentedWhiteMatter"
"515","aseg.stats.135.Volume_mm3.Left-Lateral-Ventricle"
"516","aseg.stats.136.Volume_mm3.Left-Inf-Lat-Vent"
"517","aseg.stats.137.Volume_mm3.Left-Cerebellum-White-Matter"
"518","aseg.stats.138.Volume_mm3.Left-Cerebellum-Cortex"
"519","aseg.stats.139.Volume_mm3.Left-Thalamus"
"520","aseg.stats.140.Volume_mm3.Left-Caudate"
"521","aseg.stats.141.Volume_mm3.Left-Putamen"
"522","aseg.stats.142.Volume_mm3.Left-Pallidum"
"523","aseg.stats.143.Volume_mm3.3rd-Ventricle"
"524","aseg.stats.144.Volume_mm3.4th-Ventricle"
"525","aseg.stats.145.Volume_mm3.Brain-Stem"
"526","aseg.stats.146.Volume_mm3.Left-Hippocampus"
"527","aseg.stats.147.Volume_mm3.Left-Amygdala"
"528","aseg.stats.148.Volume_mm3.CSF"
"529","aseg.stats.149.Volume_mm3.Left-Accumbens-area"
"530","aseg.stats.150.Volume_mm3.Left-VentralDC"
"531","aseg.stats.151.Volume_mm3.Left-vessel"
"532","aseg.stats.152.Volume_mm3.Left-choroid-plexus"
"533","aseg.stats.153.Volume_mm3.Right-Lateral-Ventricle"
"534","aseg.stats.154.Volume_mm3.Right-Inf-Lat-Vent"
"535","aseg.stats.155.Volume_mm3.Right-Cerebellum-White-Matter"
"536","aseg.stats.156.Volume_mm3.Right-Cerebellum-Cortex"
"537","aseg.stats.157.Volume_mm3.Right-Thalamus"
"538","aseg.stats.158.Volume_mm3.Right-Caudate"
"539","aseg.stats.159.Volume_mm3.Right-Putamen"
"540","aseg.stats.160.Volume_mm3.Right-Pallidum"
"541","aseg.stats.161.Volume_mm3.Right-Hippocampus"
"542","aseg.stats.162.Volume_mm3.Right-Amygdala"
"543","aseg.stats.163.Volume_mm3.Right-Accumbens-area"
"544","aseg.stats.164.Volume_mm3.Right-VentralDC"
"545","aseg.stats.165.Volume_mm3.Right-vessel"
"546","aseg.stats.166.Volume_mm3.Right-choroid-plexus"
"547","aseg.stats.167.Volume_mm3.5th-Ventricle"
"548","aseg.stats.168.Volume_mm3.WM-hypointensities"
"549","aseg.stats.171.Volume_mm3.non-WM-hypointensities"
"550","aseg.stats.174.Volume_mm3.Optic-Chiasm"
"551","aseg.stats.175.Volume_mm3.CC_Posterior"
"552","aseg.stats.176.Volume_mm3.CC_Mid_Posterior"
"553","aseg.stats.177.Volume_mm3.CC_Central"
"554","aseg.stats.178.Volume_mm3.CC_Mid_Anterior"
"555","aseg.stats.179.Volume_mm3.CC_Anterior"
